CNPJ;Razão Social;Nome Fantasia;Natureza Jurídica;Capital Social;Data de Abertura;Idade da Empresa;Cidade;Estado;CEP;Porte;Atividade Principal;Flag_CNEP;Flag_CEIS
42382970001-89;3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.;;Sociedade Empresária Limitada;97350010;10/01/2001;240;Santana de Parnaíba;SP;65433250;Demais;Fabricação de equipamentos transmissores de comunicação, peças e acessórios;0;0
42700510001-94;TOP CENTER TECNOLOGIA LTDA;Top Center Outsourcing;Sociedade Empresária Limitada;720000;15/03/2000;250;Belo Horizonte;MG;317202700;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
43058790001-30;S3ENG - TECNOLOGIA APLICADA A ENGENHARIA LTDA;Altoqi;Sociedade Empresária Limitada;261616170;26/01/2001;240;Florianópolis;SC;880104500;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
44240940001-87;ALLCOMNET TECNOLOGIA E SISTEMAS LTDA;Allcomnet Tecnologia e Sistemas;Sociedade Empresária Limitada;41640000;03/05/2001;240;Guarulhos;SP;71120000;Demais;Comércio atacadista de equipamentos de informática;0;0
45307810001-87;ZIULEO COPY COMERCIO E SERVICOS LTDA;Zl Tecnologia e Impressao;Sociedade Empresária Limitada;140000000;24/05/2001;240;Rio de Janeiro;RJ;227750420;Demais;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";0;0
45672650001-27;SCORPION INFORMATICA LTDA;Scorpion Informatica;Sociedade Empresária Limitada;954000;24/07/2001;240;Curitiba;PR;811500500;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
47249240001-91;ACTIVEWEB TECHNOLOGIES INFORMATICA LTDA;Activeweb - Seguranca Digital;Sociedade Empresária Limitada;1000000;09/10/2001;240;Curitiba;PR;806200100;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
49583210001-54;HARDLINK INFORMATICA E SISTEMAS LTDA;Hardlink;Sociedade Empresária Limitada;10000000;15/03/2002;230;Porto Alegre;RS;919201300;Demais;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
53777770001-93;SYSTEM NETWORKS LTDA;System Networks;Sociedade Empresária Limitada;500000;05/11/2002;230;Poços de Caldas;MG;377010100;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
55069330001-79;WEBDOC LOCACOES LTDA;Webdoc;Sociedade Empresária Limitada;7000000;07/02/2003;220;Uberlândia;MG;384002340;Empresa de Pequeno Porte;Fotocópias;0;0
56300850001-05;VICMA COMERCIO DE EQUIPAMENTOS PARA ESCRITORIO LTDA;Print Solution;Sociedade Empresária Limitada;500000;14/04/2003;220;Rio de Janeiro;RJ;227750900;Empresa de Pequeno Porte;Comércio varejista de equipamentos para escritório;0;0
61322700001-32;SOLLICITA NEGOCIOS PUBLICOS LTDA;;Sociedade Empresária Limitada;998000;30/01/2004;210;São José dos Pinhais;PR;830050100;Demais;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;0;0
61859900001-66;SILVIO MANCUSI;Expert System;Empresário (Individual);;04/03/2004;210;São Paulo;SP;14530000;Empresa de Pequeno Porte;Desenvolvimento de programas de computador sob encomenda;0;0
70424210001-24;INFOPLEM INFORMATICA LTDA;Infoplem Informatica;Sociedade Empresária Limitada;1000000;05/10/2004;210;Salvador;BA;418207680;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
70454690001-96;ATA SISTEMAS DE ENERGIA LTDA;;Sociedade Empresária Limitada;2000000;01/10/2004;210;São Paulo;SP;34800300;Empresa de Pequeno Porte;Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;0;0
70471830001-40;IPQ TECNOLOGIA LTDA;Ipq Tecnologia;Sociedade Empresária Limitada;29700000;01/09/2004;210;Salvador;BA;417702350;Demais;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
71287440001-35;DUO TELECOM LTDA;Duo Telecom;Sociedade Empresária Limitada;200000;08/11/2004;210;Teresina;PI;640001800;Microempresa;Comércio varejista especializado de equipamentos de telefonia e comunicação;0;0
71783220001-74;EQUILIBRIUM WEB SERVICOS DE INFORMATICA LTDA;Equilibrium Web;Sociedade Empresária Limitada;500000;04/01/2005;200;Belém;PA;660170500;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
71924800002-60;AMM TECNOLOGIA E SERVICOS DE INFORMATICA S/A;;Sociedade Anônima Fechada;4000000;12/07/2021;40;Barueri;SP;64540500;Demais;Desenvolvimento e licenciamento de programas de computador customizáveis;0;0
72232710001-55;CONNECTA - CONSULTORIA, COMERCIO E SERVICOS DE INFORMATICA LTDA;Connecta Networking - Solucoes Corporativas;Sociedade Empresária Limitada;800000;17/02/2005;200;Belém;PA;660533500;Microempresa;Serviços de engenharia;0;0
73124150001-40;NELSON VIDOVIX SEGURA & CIA LTDA;Matrixx Tecnologia;Sociedade Empresária Limitada;2000000;07/04/2005;200;Cáceres;MT;782100320;Demais;Serviços de comunicação multimídia - SCM;0;0
73222760001-35;SYDLE SISTEMAS LTDA;Sydle;Sociedade Empresária Limitada;30000000;04/04/2005;200;Belo Horizonte;MG;301109270;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
73463260001-14;REPROS SOLUCOES EM TECNOLOGIA LTDA;Repros;Sociedade Empresária Limitada;1200000;15/04/2005;200;Ipatinga;MG;351643010;Empresa de Pequeno Porte;Aluguel de máquinas e equipamentos para escritórios;0;0
74325170001-07;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;;Sociedade Empresária Limitada;4909947390;03/02/2005;200;Santana de Parnaíba;SP;65433120;Demais;Comércio atacadista de equipamentos de informática;0;0
77566510001-55;BRASIL TECPAR SERVICOS DE TELECOMUNICACOES S.A;Brasil Tecpar Telecom;Sociedade Anônima Fechada;6558011540;30/11/2005;200;Santa Maria;RS;970508000;Demais;Provedores de acesso às redes de comunicações;0;0
77591740001-81;SOLUCOES SERVICOS DE LOCACAO DE MAQUINAS E EQUIPAMENTOS PARA ESCRITORIO LTDA;Solucoes Telecon;Sociedade Empresária Limitada;37000000;06/12/2005;200;Recife;PE;500400000;Microempresa;Aluguel de máquinas e equipamentos para escritórios;0;1
77979670001-95;NP TECNOLOGIA E GESTAO DE DADOS LTDA;Np Tecnologia;Sociedade Empresária Limitada;50000;04/01/2006;190;São José dos Pinhais;PR;830050100;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
82102650001-26;DATA CORPORE SERVICOS DE TELECOMUNICACOES E INFORMATICA LTDA;;Sociedade Empresária Limitada;22000000;26/07/2006;190;Rio de Janeiro;RJ;200909050;Demais;Serviços de comunicação multimídia - SCM;0;0
84379170001-60;TTI INFORMATICA REPRESENTACAO E CONSULTORIA LTDA;Tti Informatica;Sociedade Empresária Limitada;20000000;30/10/2006;190;Brasília;DF;707140200;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
86103630002-31;LOCOPIA COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA;Locopia;Sociedade Empresária Limitada;200000;09/07/2009;160;Salvador;BA;418101050;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
88443480001-77;TRDT BRASIL TECNOLOGIA LTDA;Trdt Brasil Tecnologia Ltda;Sociedade Empresária Limitada;43980310;03/05/2007;180;São Paulo;SP;45789100;Demais;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;0;0
